iso3,fuacode,AGE_DEP_YEAR,OLD_DEP_RATE,OLD_SH,YOUTH_DEP_RATE,YOUTH_SH,WORKAGE_SH,POP_CH,BIRTH_RATE,DEATH_RATE,NETNAT_RATE,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_YEAR,SEX_RATIO_TOT,MIGRANT_SH_YEAR,MIGRANT_SH,LST_YEAR,LST_DAY_SUMMER,LST_NIGHT_SUMMER,CDD_T_22C,HDD_T_15C,CDD_T_22C_CH,HDD_T_15C_CH,RIVER_FLOOD_YEAR,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_YEAR,COASTAL_FLOOD_RP100_POP_SH,GREEN_AREA_CAPITA,GREEN_AREA_SHARE,GREEN_AREAS_YEAR,FOREST_CH,OOKLA_YEAR,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,INC_YEAR,MEDIAN_DISP_INC,GINI_YEAR,GINI,POV_YEAR,POV_RATE_60,RENT_YEAR,RENT_M2,HOUSING_PRICE_YEAR,HOUSING_PRICE_M2,UNEMP_YEAR,UNEMP_RATE_15+
USA,USA119F,2021.0,28.770213874683378,18.603060326350324,53.17713471395042,15.947313677660823,65.44962599598885,2.4428720755933093,10.04385253525591,10.19083161383515,-0.1469790785792398,1.1034832276862572,7.872627237689723,6.769144010003465,2021.0,102.59870534434188,2020.0,4.401248182506196,2022.0,30.831992720132043,21.55501850009932,701.190439172715,319.7318188836533,85.5879422006806,-82.10057001825093,2015.0,0.23966301919971994,2015.0,0.0030020612091929857,45405.749938026114,93.75089332069601,2021.0,-1.6921769937443691,2022.0,-26.530307844650494,-42.3309921141379,-38.38394094946502,-43.781056178680984,,,,,,,,,,,,
USA,USA11F,2021.0,24.921357921309358,16.63086991372693,48.94829945134519,16.072603294247692,67.29652679202538,1.9537895951631483,10.470486977502167,8.608608384393827,1.8618785931083406,5.2515064528470585,-0.5774101930410118,-5.82891664588807,2021.0,95.03388390516348,2020.0,19.332758619866397,2022.0,30.233402048678236,17.753996381843724,128.19210455268814,2352.166397169729,50.57266105109356,-185.6001861731098,2015.0,2.5411205240020607,2015.0,0.08496018024798793,1330.0805313024252,72.44560900220917,2021.0,-20.56211988817035,2022.0,12.779788040644393,1.0622822954658666,32.246191675818935,39.08462788154422,,,,,,,,,,,,
USA,USA120F,2021.0,17.85257619110807,11.792225172558144,51.39996227229483,22.15752949241245,66.05024533502942,0.29380966726790475,16.045997113900846,7.900231061716454,8.14576605218439,1.1833636094746387,-0.21412726876649568,-1.3974908782411344,2021.0,98.16378321903122,2020.0,6.314529463959866,2022.0,33.15468511163181,20.78793306367529,514.2094063708648,895.4479340003509,91.31284743377012,-139.26917747119165,2015.0,1.2253305656057782,2015.0,0.0,10336.607716519818,83.83406748559146,2021.0,-0.3280002856059159,2022.0,12.741743652856346,-26.237478920725064,-12.81634241828346,-11.067753168011455,,,,,,,,,,,,
USA,USA121F,2021.0,31.62808486654052,20.501893321572386,54.26909295865373,14.676308557917894,64.82179812050973,3.7887221323885907,8.985891154140969,10.622939807855342,-1.6370486537143722,0.6587197759486025,9.181990297967774,8.523270522019171,2021.0,97.30042838901018,2020.0,5.550246327587896,2022.0,26.17656745338241,13.899472825900112,30.560820823426052,2368.30133003204,16.98688626266305,-125.12124237525813,2015.0,33.42004339979374,2015.0,0.03212927972053326,29828.51148641521,95.52953739464908,2021.0,-0.30991813625813763,2022.0,-13.160981153621773,-62.63145886006166,-6.2822115851416465,-12.719684700125079,,,,,,,,,,,,
USA,USA122F,2021.0,27.543286250117674,17.44696218003494,57.74052806646348,19.140142398410404,63.41289542155466,-0.9066675704710997,11.041397427539586,9.489647644149077,1.5517497833905076,0.3973119431070063,-5.6625690652141145,-6.0598810083211205,2021.0,98.83961405761656,2020.0,8.844221574936874,2022.0,29.38440967966038,16.290983118349676,160.35904813916324,2900.097304247761,35.07871249400313,7.090650781155773,2015.0,9.412449754710801,2015.0,0.0,2795.1904787828953,34.82230032808217,2021.0,2.669033687875265,2022.0,-2.0025186785566644,-66.99361672431341,-13.02669248229887,-4.207083335860105,,,,,,,,,,,,
USA,USA123F,2021.0,19.964835965931442,13.147781893075111,52.024682506549105,21.069892414054927,65.78232569286996,15.63117721228444,13.695077162300805,8.665443747112429,5.029633415188378,0.6600633448017037,17.882377957759164,17.22231461295746,2021.0,96.84948885516337,2020.0,4.928592182117861,2022.0,31.873209125023465,21.90714990826687,660.8190581998691,423.60780479866366,89.72859805142029,-101.09756691424117,2015.0,7.417743811690012,2015.0,0.025979091854824096,13655.405007404142,75.29985718578092,2021.0,-2.240366491728117,2022.0,-0.9043723350068515,-21.05790782393386,-53.71672714948095,-40.55096684905781,,,,,,,,,,,,
USA,USA124F,2021.0,29.445934839918902,18.4917564392335,59.13620531506236,18.654822578725145,62.85342098204136,-1.0480533406121004,10.997297482493844,11.284236989640897,-0.28693950714705263,0.5061351663029332,-0.5556412025174703,-1.061776368820404,2021.0,98.15513290249314,2020.0,2.358861902472168,2022.0,30.86353814296526,19.54317125200774,441.84122227724356,1666.7389264275723,75.39756886731303,-58.209732544861616,2015.0,7.407004570785792,2015.0,0.0,9756.84958613347,43.0266194159676,2021.0,-2.103442840364181,2022.0,-16.29146264524051,-43.315447849269944,-39.08164216140201,-29.14077987644556,,,,,,,,,,,,
USA,USA125F,2021.0,21.666531069243792,15.139825117084923,43.10952010134939,14.98362164649828,69.8765532364168,0.6621975147155004,9.555809897536516,6.936450839328538,2.619359058207979,2.818290821887944,-4.149771092217135,-6.96806191410508,2021.0,98.7388831799082,2020.0,12.595789730852234,2022.0,28.505047415848125,15.906920481117549,132.3851047198586,2702.0223070954157,37.702838321050194,-104.98984605646774,2015.0,0.0,2015.0,0.0,3432.9938682351194,67.77521217699386,2021.0,0.17140898183063033,2022.0,3.45964979524346,-28.98197913154021,10.322295160470306,-4.912424033471249,,,,,,,,,,,,
USA,USA126F,2021.0,25.454318704737023,15.797222729337031,60.469764490262,21.78830249672158,62.414474773941386,-4.768186081008019,12.820732411693749,10.341495746653287,2.4792366650404625,0.3165755570694418,-4.208610464639069,-4.52518602170851,2021.0,104.23721615076904,2020.0,7.324886236643867,2022.0,46.385645331907455,20.88094688414647,664.4300527100924,1099.2513535380847,220.82859116905556,-45.780756236515764,2015.0,0.22493976711637975,2015.0,0.0,92373.74858469125,38.57836401237814,2021.0,0.6337706273509577,2022.0,-23.398709076340435,88.21812122857303,-31.826559534177857,-12.622085625851726,,,,,,,,,,,,
USA,USA127F,2021.0,23.26867491387529,15.501086761249054,50.109958561384985,17.881081245208257,66.6178319935427,10.70801294172024,11.920388811854838,9.825622925332997,2.0947658865218424,0.7619367760550163,13.594408728658067,12.832471952603049,2021.0,97.46233980364237,2020.0,5.354568844068036,2022.0,32.34381793158259,20.86750073582639,460.22784916209775,1061.1746032248925,81.07788939213827,-141.96429722345738,2015.0,6.224688956598049,2015.0,0.0,3963.6360864670846,74.41842720489943,2021.0,-0.8865026844799545,2022.0,16.761611590793617,121.85369091428183,-27.61487236916923,-22.334726974681416,,,,,,,,,,,,
